stockid,assessid,stocklong,tsid,tsyear,tsvalue,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1935,7549,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1936,23162,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1937,14823,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1938,20640,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1939,25406,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1940,26762,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1941,50796,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1942,55892,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1943,48348,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1944,50439,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1945,37912,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1946,42423,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1947,40160,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1948,43631,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1949,30743,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1950,34307,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1951,30077,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1952,21377,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1953,16791,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1954,12988,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1955,13914,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1956,14388,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1957,18490,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1958,16047,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1959,15521,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1960,11375,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1961,14101,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1962,14134,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1963,10046,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1964,8313,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1965,8057,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1966,8569,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1967,10864,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1968,6777,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1969,12455,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1970,16741,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1971,20034,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1972,19095,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1973,17360,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1974,10471,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1975,10572,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1976,10696,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1977,13223,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1978,14083,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1979,14755,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1980,10183,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1981,7915,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1982,6903,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1983,5328,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1984,4793,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1985,4282,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1986,2929,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1987,1894,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1988,1177,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1989,669,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1990,639,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1991,2039,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1992,978,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1993,1046,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1994,546,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1995,631,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1996,689,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1997,432,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1998,586,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,1999,383,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,2000,488,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,2001,728,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,2002,494,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,2003,564,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,2004,523,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,2005,665,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,2006,648,,,,,,,,,,,,,,,,,
ACADREDGOMGB,NEFSC-ACADREDGOMGB-1913-2007-MILLER,Acadian redfish Gulf of Maine / Georges Bank,TC-MT,2007,1160,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1960,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1961,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1962,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1963,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1964,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1965,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1966,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1967,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1968,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1969,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1970,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1971,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1972,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1973,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1974,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1975,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1976,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1977,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1978,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1979,,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1980,14442.05,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1981,13186.11,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1982,15566.81,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1983,13721.04,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1984,10761.25,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1985,7306.19,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1986,4796.33,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1987,4311.73,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1988,3839.47,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1989,3536.45,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1990,3931.53,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1991,6060.46,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1992,7033.84,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1993,6117.7,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1994,5624.25,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1995,5443.84,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1996,4828.96,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1997,4633.99,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1998,4383.29,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,1999,3929.01,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,2000,4582.81,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,2001,4799.89,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,2002,3764.4,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,2003,2801.6,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,2004,2022.79,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,2005,1555.68,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,2006,1338.33,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,2007,1226.17,,,,,,,,,,,,,,,,,
AMPL5YZ,NEFSC-AMPL5YZ-1960-2008-OBRIEN,American Plaice NAFO-5YZ,TC-MT,2008,,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,1998,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,1999,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2000,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2001,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2002,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2003,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2004,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2005,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2006,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2007,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2008,5800,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2009,11267,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,OFL-MT,2010,10112,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,ACL-MT,2011,12431.18998,,,,,,,,,,,,,,,,,
