"","unq","f.ratio","f.msy","fmsy.id","f","f.ts","stocklong.x","stocklong.y","stockid","assessid","year","b.ts","b","bmsy.id","b.msy","b.ratio","region","overfished","bmsy.status","fmsy.status","rebuilding"
"16.5","american plaice nafo-5yz 2007",0.315789473684211,0.19,"Fmsy-1/yr",0.06,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2012,"SSB-MT",15659.02,"SSBmsy-MT",22243,0.703997662185856,"ne","not overfished","below","none","not"
"16.6","american plaice nafo-5yz 2007",0.315789473684211,0.19,"Fmsy-1/yr",0.06,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2013,"SSB-MT",15659.02,"SSBmsy-MT",22243,0.703997662185856,"ne","not overfished","below","none","not"
"17","arrowtooth flounder pacific coast 2000",0.476190476190476,0.21,"Fmsy-1/yr",0.1,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2000,"SSB-MT",48467.5,"SSBmsy-MT",16593,2.92096064605557,"west","not overfished","above","none","not"
"18","arrowtooth flounder pacific coast 2001",0.404761904761905,0.21,"Fmsy-1/yr",0.085,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2001,"SSB-MT",44852.8,"SSBmsy-MT",16593,2.70311577171096,"west","not overfished","above","none","not"
"19","arrowtooth flounder pacific coast 2002",0.376190476190476,0.21,"Fmsy-1/yr",0.079,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2002,"SSB-MT",42330.2,"SSBmsy-MT",16593,2.55108780811185,"west","not overfished","above","none","not"
"20","arrowtooth flounder pacific coast 2003",0.390476190476191,0.21,"Fmsy-1/yr",0.082,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2003,"SSB-MT",44468.4,"SSBmsy-MT",16593,2.67994937624299,"west","not overfished","above","none","not"
"21","arrowtooth flounder pacific coast 2004",0.361904761904762,0.21,"Fmsy-1/yr",0.076,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2004,"SSB-MT",51021,"SSBmsy-MT",16593,3.07485084071596,"west","not overfished","above","none","not"
"22","arrowtooth flounder pacific coast 2005",0.295238095238095,0.21,"Fmsy-1/yr",0.062,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2005,"SSB-MT",56486.3,"SSBmsy-MT",16593,3.4042246730549,"west","not overfished","above","none","not"
"23","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2006,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.1","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2007,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.2","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2008,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.3","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2009,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.4","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2010,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.5","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2011,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.6","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2012,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"23.7","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2013,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west","not overfished","above","none","not"
"25","atlantic cod georges bank 2000",3.44444444444444,0.18,"Fmsy",0.62,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2000,"SSB-MT",22256,"SSBmsy-MT",186535,0.119312729514568,"ne","Overfished","below","high","not"
"26","atlantic cod georges bank 2001",4.61111111111111,0.18,"Fmsy",0.83,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2001,"SSB-MT",25624,"SSBmsy-MT",186535,0.137368322298764,"ne","Overfished","below","high","not"
"27","atlantic cod georges bank 2002",4.22222222222222,0.18,"Fmsy",0.76,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2002,"SSB-MT",20459,"SSBmsy-MT",186535,0.109679148685233,"ne","Overfished","below","high","not"
"28","atlantic cod georges bank 2003",4.44444444444444,0.18,"Fmsy",0.8,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2003,"SSB-MT",14960,"SSBmsy-MT",186535,0.0801994263811081,"ne","Overfished","below","high","not"
"29","atlantic cod georges bank 2004",3,0.18,"Fmsy",0.54,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2004,"SSB-MT",11860,"SSBmsy-MT",186535,0.0635805612887662,"ne","Overfished","below","high","not"
"30","atlantic cod georges bank 2005",3.61111111111111,0.18,"Fmsy",0.65,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2005,"SSB-MT",10121,"SSBmsy-MT",186535,0.0542579140643847,"ne","Overfished","below","high","not"
"31","atlantic cod georges bank 2006",2.77777777777778,0.18,"Fmsy",0.5,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2006,"SSB-MT",10441,"SSBmsy-MT",186535,0.0559734098158523,"ne","Overfished","below","high","not"
"32","atlantic cod georges bank 2007",3.61111111111111,0.18,"Fmsy",0.65,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2007,"SSB-MT",10970,"SSBmsy-MT",186535,0.0588093387299971,"ne","Overfished","below","high","not"
"33","atlantic cod georges bank 2008",3.22222222222222,0.18,"Fmsy",0.58,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2008,"SSB-MT",11520,"SSBmsy-MT",186535,0.0617578470528319,"ne","Overfished","below","high","not"
"34","atlantic cod georges bank 2009",2.33333333333333,0.18,"Fmsy",0.42,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2009,"SSB-MT",14725,"SSBmsy-MT",186535,0.0789396091886241,"ne","Overfished","below","high","not"
"35","atlantic cod georges bank 2010",1.61111111111111,0.18,"Fmsy",0.29,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2010,"SSB-MT",17168,"SSBmsy-MT",186535,0.0920363470662342,"ne","Overfished","below","high","not"
"36","atlantic cod georges bank 2011",1.27777777777778,0.18,"Fmsy",0.23,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2011,"SSB-MT",22217,"SSBmsy-MT",186535,0.119103653469858,"ne","Overfished","below","overfishing","not"
"36.1","atlantic cod georges bank 2011",1.27777777777778,0.18,"Fmsy",0.23,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2012,"SSB-MT",22217,"SSBmsy-MT",186535,0.119103653469858,"ne","Overfished","below","overfishing","not"
"36.2","atlantic cod georges bank 2011",1.27777777777778,0.18,"Fmsy",0.23,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2013,"SSB-MT",22217,"SSBmsy-MT",186535,0.119103653469858,"ne","Overfished","below","overfishing","not"
"37","atlantic cod gulf of maine 2000",3.44444444444444,0.18,"Fmsy",0.62,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2000,"SSB-MT",9070,"SSBmsy-MT",54753,0.165653023578617,"ne","Overfished","below","high","not"
"38","atlantic cod gulf of maine 2001",4,0.18,"Fmsy",0.72,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2001,"SSB-MT",11885,"SSBmsy-MT",54753,0.217065731558088,"ne","Overfished","below","high","not"
"39","atlantic cod gulf of maine 2002",3.16666666666667,0.18,"Fmsy",0.57,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2002,"SSB-MT",11951,"SSBmsy-MT",54753,0.218271144960094,"ne","Overfished","below","high","not"
"40","atlantic cod gulf of maine 2003",3.72222222222222,0.18,"Fmsy",0.67,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2003,"SSB-MT",10005,"SSBmsy-MT",54753,0.182729713440359,"ne","Overfished","below","high","not"
"41","atlantic cod gulf of maine 2004",3.77777777777778,0.18,"Fmsy",0.68,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2004,"SSB-MT",8594,"SSBmsy-MT",54753,0.156959436012639,"ne","Overfished","below","high","not"
"42","atlantic cod gulf of maine 2005",5.11111111111111,0.18,"Fmsy",0.92,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2005,"SSB-MT",7213,"SSBmsy-MT",54753,0.131737073767647,"ne","Overfished","below","high","not"
"43","atlantic cod gulf of maine 2006",4.33333333333333,0.18,"Fmsy",0.78,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2006,"SSB-MT",6752,"SSBmsy-MT",54753,0.123317443793034,"ne","Overfished","below","high","not"
"44","atlantic cod gulf of maine 2007",4.16666666666667,0.18,"Fmsy",0.75,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2007,"SSB-MT",8725,"SSBmsy-MT",54753,0.159351998977225,"ne","Overfished","below","high","not"
"45","atlantic cod gulf of maine 2008",5.22222222222222,0.18,"Fmsy",0.94,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2008,"SSB-MT",10282,"SSBmsy-MT",54753,0.187788796960897,"ne","Overfished","below","high","not"
"46","atlantic cod gulf of maine 2009",5.44444444444444,0.18,"Fmsy",0.98,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2009,"SSB-MT",11457,"SSBmsy-MT",54753,0.209248808284478,"ne","Overfished","below","high","not"
"47","atlantic cod gulf of maine 2010",4.83333333333333,0.18,"Fmsy",0.87,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2010,"SSB-MT",11141,"SSBmsy-MT",54753,0.203477435026391,"ne","Overfished","below","high","not"
"48","atlantic cod gulf of maine 2011",4.77777777777778,0.18,"Fmsy",0.86,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2011,"SSB-MT",9903,"SSBmsy-MT",54753,0.180866801819078,"ne","Overfished","below","high","not"
"48.1","atlantic cod gulf of maine 2011",4.77777777777778,0.18,"Fmsy",0.86,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2012,"SSB-MT",9903,"SSBmsy-MT",54753,0.180866801819078,"ne","Overfished","below","high","not"
"48.2","atlantic cod gulf of maine 2011",4.77777777777778,0.18,"Fmsy",0.86,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2013,"SSB-MT",9903,"SSBmsy-MT",54753,0.180866801819078,"ne","Overfished","below","high","not"
"49","aurora rockfish pacific coast 2000",0.172549019607843,0.051,"Umsy-ratio",0.0088,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2000,"SSB-MT",1848,"SSBmsy-MT",648,2.85185185185185,"west","not overfished","above","none","not"
"50","aurora rockfish pacific coast 2001",0.141176470588235,0.051,"Umsy-ratio",0.0072,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2001,"SSB-MT",1828,"SSBmsy-MT",648,2.82098765432099,"west","not overfished","above","none","not"
"51","aurora rockfish pacific coast 2002",0.252941176470588,0.051,"Umsy-ratio",0.0129,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2002,"SSB-MT",1814,"SSBmsy-MT",648,2.79938271604938,"west","not overfished","above","none","not"
"52","aurora rockfish pacific coast 2003",0.347058823529412,0.051,"Umsy-ratio",0.0177,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2003,"SSB-MT",1791,"SSBmsy-MT",648,2.76388888888889,"west","not overfished","above","none","not"
"53","aurora rockfish pacific coast 2004",0.394117647058824,0.051,"Umsy-ratio",0.0201,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2004,"SSB-MT",1760,"SSBmsy-MT",648,2.71604938271605,"west","not overfished","above","none","not"
"54","aurora rockfish pacific coast 2005",0.252941176470588,0.051,"Umsy-ratio",0.0129,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2005,"SSB-MT",1727,"SSBmsy-MT",648,2.66512345679012,"west","not overfished","above","none","not"
"55","aurora rockfish pacific coast 2006",0.262745098039216,0.051,"Umsy-ratio",0.0134,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2006,"SSB-MT",1710,"SSBmsy-MT",648,2.63888888888889,"west","not overfished","above","none","not"
"56","aurora rockfish pacific coast 2007",0.268627450980392,0.051,"Umsy-ratio",0.0137,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2007,"SSB-MT",1695,"SSBmsy-MT",648,2.61574074074074,"west","not overfished","above","none","not"
"57","aurora rockfish pacific coast 2008",0.243137254901961,0.051,"Umsy-ratio",0.0124,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2008,"SSB-MT",1681,"SSBmsy-MT",648,2.59413580246914,"west","not overfished","above","none","not"
"58","aurora rockfish pacific coast 2009",0.307843137254902,0.051,"Umsy-ratio",0.0157,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2009,"SSB-MT",1672,"SSBmsy-MT",648,2.58024691358025,"west","not overfished","above","none","not"
"59","aurora rockfish pacific coast 2010",0.192156862745098,0.051,"Umsy-ratio",0.0098,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2010,"SSB-MT",1659,"SSBmsy-MT",648,2.56018518518519,"west","not overfished","above","none","not"
