"","stockid","assessid","stocklong","bioid","biovalue"
"47","MONKGOMNGB","NEFSC-MONKGOMNGB-1964-2006-RICHARDS","Monkfish Gulf of Maine / Northern Georges Bank","Fmsy-1/T",0.2
"48","MONKGOMNGB","NEFSC-MONKGOMNGB-1964-2006-RICHARDS","Monkfish Gulf of Maine / Northern Georges Bank","MSY-MT",3500
"49","MONKGOMNGB","NEFSC-MONKGOMNGB-1964-2006-RICHARDS","Monkfish Gulf of Maine / Northern Georges Bank","SSBmsy-MT",49000
"50","OPOUTNWATLC","NEFSC-OPOUTNWATLC-1962-2008-WIGLEY","Ocean pout Northwestern Atlantic Coast","Bmsy-MT",4.94
"51","OPOUTNWATLC","NEFSC-OPOUTNWATLC-1962-2008-WIGLEY","Ocean pout Northwestern Atlantic Coast","Fmsy-1/T",0.76
"52","OPOUTNWATLC","NEFSC-OPOUTNWATLC-1962-2008-WIGLEY","Ocean pout Northwestern Atlantic Coast","MSY-MT",3754
"56","RHAKEN","NEFSC-RHAKEN-1963-2009-KURIYAMA","Red hake Northern ","",NA
"57","RHAKES","NEFSC-RHAKES-1963-2009-KURIYAMA","Red hake Southern","",NA
"58","SCUPNWATLC","NEFSC-SCUPNWATLC-1960-2007-TERCEIRO","Scup Atlantic Coast","Bmsy-MT",92044
"59","SCUPNWATLC","NEFSC-SCUPNWATLC-1960-2007-TERCEIRO","Scup Atlantic Coast","Fmsy-1/T",0.177
"60","SCUPNWATLC","NEFSC-SCUPNWATLC-1960-2007-TERCEIRO","Scup Atlantic Coast","SSBmsy-MT",92044
"61","SFLOUNMATLC","NEFSC-SFLOUNMATLC-1940-2007-BAUM","Summer flounder Mid-Atlantic Coast","SSBmsy-MT",60074
"62","SFLOUNMATLC","NEFSC-SFLOUNMATLC-1940-2007-BAUM","Summer flounder Mid-Atlantic Coast","Fmsy-1/T",0.31
"63","SHAKEGOMNGB","NEFSC-SHAKEGOMNGB-1955-2005-COL","Silver hake Gulf of Maine / Northern Georges Bank","Bmsy-relative",6.63
"64","SHAKEGOMNGB","NEFSC-SHAKEGOMNGB-1955-2005-COL","Silver hake Gulf of Maine / Northern Georges Bank","Umsy-ratio",2.57
"65","SHAKESGBMATL","NEFSC-SHAKESGBMATL-1955-2005-COL","Silver hake Southern Georges Bank / Mid-Atlantic","Bmsy-relative",1.78
"66","SHAKESGBMATL","NEFSC-SHAKESGBMATL-1955-2005-COL","Silver hake Southern Georges Bank / Mid-Atlantic","Umsy-ratio",34.39
"67","STRIPEDBASSGOMCHATT","NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD","Striped bass Gulf of Maine / Cape Hatteras","Fmsy-1/T",0.33
"68","STRIPEDBASSGOMCHATT","NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD","Striped bass Gulf of Maine / Cape Hatteras","MSY-MT",17823
"69","STRIPEDBASSGOMCHATT","NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD","Striped bass Gulf of Maine / Cape Hatteras","SSBmsy-MT",14000
"70","SURFMATLC","NEFSC-SURFMATLC-1965-2008-JACOBSON","Atlantic surfclam Mid-Atlantic Coast","Bmsy-MT",9e+05
"71","SURFMATLC","NEFSC-SURFMATLC-1965-2008-JACOBSON","Atlantic surfclam Mid-Atlantic Coast","Fmsy-1/T",0.15
"72","SURFMATLC","NEFSC-SURFMATLC-1965-2008-JACOBSON","Atlantic surfclam Mid-Atlantic Coast","Fmsy-1/yr",0.15
"73","WEAKFISHATLC","NEFSC-WEAKFISHATLC-1981-2008-STANTON","Weakfish Atlantic Coast","SSBmsy-MT",10179
"74","WEAKFISHATLC","NEFSC-WEAKFISHATLC-1981-2008-STANTON","Weakfish Atlantic Coast","Fmsy-1/yr",0.53
"75","","NEFSC-WFLOUGB-2010-KURIYAMA","Winter flounder Georges Bank","Fmsy-1/T",0.42
"76","","NEFSC-WFLOUGB-2010-KURIYAMA","Winter flounder Georges Bank","SSBmsy-MT",11800
"77","","NEFSC-WFLOUGB-2010-KURIYAMA","Winter flounder Georges Bank","MSY-MT",4400
"81","WINDOWGOMGB","NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON","Windowpane flounder - Gulf of Maine / Georges Bank","Bmsy-relative",1.4
"82","WINDOWGOMGB","NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON","Windowpane flounder - Gulf of Maine / Georges Bank","MSY-MT",700
"83","WINDOWGOMGB","NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON","Windowpane flounder - Gulf of Maine / Georges Bank","Umsy-ratio",0.5
"84","WINDOWSNEMATL","NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON","Windowpane Southern New England-Mid Atlantic","Bmsy-relative",0.34
"85","WINDOWSNEMATL","NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON","Windowpane Southern New England-Mid Atlantic","MSY-MT",500
"86","WINDOWSNEMATL","NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON","Windowpane Southern New England-Mid Atlantic","Umsy-ratio",1.47
"87","WINFLOUN5Z","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON","Winter Flounder NAFO-5Z","MSY-MT",3500
"88","WINFLOUN5Z","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON","Winter Flounder NAFO-5Z","SSBmsy-MT",16000
"92","WITFLOUN5Y","NEFSC-WITFLOUN5Y-1982-2008-WIGLEY","Witch Flounder NAFO-5Y","Fmsy-1/T",0.2
"93","WITFLOUN5Y","NEFSC-WITFLOUN5Y-1982-2008-WIGLEY","Witch Flounder NAFO-5Y","MSY-MT",2352
"94","WITFLOUN5Y","NEFSC-WITFLOUN5Y-1982-2008-WIGLEY","Witch Flounder NAFO-5Y","SSBmsy-MT",11447
"95","YELLCCODGOM","NEFSC-YELLCCODGOM-1935-2008-LEGAULT","Yellowtail flounder Cape Cod / Gulf of Maine","Fmsy-1/T",0.239
"96","YELLCCODGOM","NEFSC-YELLCCODGOM-1935-2008-LEGAULT","Yellowtail flounder Cape Cod / Gulf of Maine","MSY-MT",1720
"97","YELLCCODGOM","NEFSC-YELLCCODGOM-1935-2008-LEGAULT","Yellowtail flounder Cape Cod / Gulf of Maine","SSBmsy-MT",7790
"98","YELLGB","NEFSC-YELLGB-1935-2008-BAUM","Yellowtail flounder Georges Bank","Fmsy-1/T",0.254
"99","YELLGB","NEFSC-YELLGB-1935-2008-BAUM","Yellowtail flounder Georges Bank","MSY-MT",9400
"100","YELLGB","NEFSC-YELLGB-1935-2008-BAUM","Yellowtail flounder Georges Bank","SSBmsy-MT",43200
"104","STMARLINNPAC","NMFS-STMARLINNPAC-1952-2004-BRANCH","Striped marlin North Pacific","MSY-MT",5250
"105","STMARLINNPAC","NMFS-STMARLINNPAC-1952-2004-BRANCH","Striped marlin North Pacific","SSBmsy-MT",11235
"106","STMARLINNPAC","NMFS-STMARLINNPAC-1952-2004-BRANCH","Striped marlin North Pacific","Umsy-ratio",0.3
"107","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","Fmsy-1/yr",0.21
"108","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","MSY-MT",5844
"109","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast","SSBmsy-MT",16593
"110","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","Blackgill rockfish  Pacific Coast","B0-MT",12927.2
"111","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","Blackgill rockfish  Pacific Coast","Bmsy-MT",5063
"112","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","Blackgill rockfish  Pacific Coast","Fmsy-1/yr",0.04
"113","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","Blackgill rockfish  Pacific Coast","MSY-MT",222
"114","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","Blackgill rockfish  Pacific Coast","SSBmsy-E06larvae",0.2498
"115","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","Black rockfish Northern Pacific Coast","Fmsy-1/yr",0.141
"116","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","Black rockfish Northern Pacific Coast","MSY-MT",700
"117","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","Black rockfish Northern Pacific Coast","SSBmsy-E06larvae",698.62
"118","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","Black rockfish Southern Pacific Coast","Fmsy-1/yr",0.08864
"119","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","Black rockfish Southern Pacific Coast","MSY-MT",1064.6
"120","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","Black rockfish Southern Pacific Coast","SSBmsy-E06larvae",1444.6
"121","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Blue rockfish California","B0-MT",13223
"122","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Blue rockfish California","Fmsy-1/yr",0.0403
"123","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Blue rockfish California","MSY-MT",275
"124","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Blue rockfish California","SSBmsy-E06larvae",831
"125","CABEZORECOAST","NWFSC-CABEZORECOAST-1973-2009-STACHURA","Cabezon Oregon Coast","Fmsy-1/yr",0.12
"126","CABEZORECOAST","NWFSC-CABEZORECOAST-1973-2009-STACHURA","Cabezon Oregon Coast","MSY-MT",48
"127","CABEZORECOAST","NWFSC-CABEZORECOAST-1973-2009-STACHURA","Cabezon Oregon Coast","SSBmsy-MT",164
"128","CABEZORECOAST","NWFSC-CABEZORECOAST-1973-2009-STACHURA","Cabezon Oregon Coast","Umsy-ratio",0.12
"129","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH","Chilipepper Southern Pacific Coast","B0-MT",45057
"130","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH","Chilipepper Southern Pacific Coast","Fmsy-1/yr",0.112
"131","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH","Chilipepper Southern Pacific Coast","MSY-MT",2164
"132","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH","Chilipepper Southern Pacific Coast","SSBmsy-MT",12126
"133","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA","Canary rockfish Pacific Coast","B0-MT",70664
"134","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA","Canary rockfish Pacific Coast","Fmsy-1/yr",0.0304
"135","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA","Canary rockfish Pacific Coast","MSY-MT",803
"136","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA","Canary rockfish Pacific Coast","SSBmsy-MT",10464
"141","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH","English sole Pacific Coast","Fmsy-1/yr",0.27
"142","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH","English sole Pacific Coast","MSY-MT",4252
"143","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH","English sole Pacific Coast","SSBmsy-MT",6526
"144","KELPGREENLINGORECOAST","NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON","Kelp greenling Oregon Coast","B0-MT",1295
"145","KELPGREENLINGORECOAST","NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON","Kelp greenling Oregon Coast","MSY-MT",82
"146","KELPGREENLINGORECOAST","NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON","Kelp greenling Oregon Coast","SSBmsy-MT",123
"147","KELPGREENLINGORECOAST","NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON","Kelp greenling Oregon Coast","Fmsy-1/T",0.125
"148","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","Lingcod Northern Pacific Coast","B0-MT",44536.3
"149","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","Lingcod Northern Pacific Coast","Fmsy-1/yr",0.14
"150","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","Lingcod Northern Pacific Coast","MSY-MT",1734
"151","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","Lingcod Northern Pacific Coast","SSBmsy-MT",13230
"152","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","Lingcod Northern Pacific Coast","Umsy-ratio",0.14
"153","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA","Lingcod Southern Pacific Coast","Fmsy-1/yr",0.08
"154","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA","Lingcod Southern Pacific Coast","MSY-MT",1514
"155","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA","Lingcod Southern Pacific Coast","SSBmsy-MT",10124
"156","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA","Lingcod Southern Pacific Coast","Umsy-ratio",0.08
"157","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","Longnose skate Pacific Coast","Fmsy-1/yr",0.027
"158","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","Longnose skate Pacific Coast","MSY-MT",1268
"159","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","Longnose skate Pacific Coast","SSBmsy-MT",2626
"169","POPERCHPCOAST","NWFSC-POPERCHPCOAST-1940-2011-STACHURA","Pacific ocean perch Pacific Coast","Fmsy-1/yr",0.02
"170","POPERCHPCOAST","NWFSC-POPERCHPCOAST-1940-2011-STACHURA","Pacific ocean perch Pacific Coast","MSY-MT",1058
"171","POPERCHPCOAST","NWFSC-POPERCHPCOAST-1940-2011-STACHURA","Pacific ocean perch Pacific Coast","SSBmsy-E08eggs",25601
"172","SABLEFPCOAST","NWFSC-SABLEFPCOAST-1900-2011-STACHURA","Sablefish Pacific Coast","B0-MT",537893
"173","SABLEFPCOAST","NWFSC-SABLEFPCOAST-1900-2011-STACHURA","Sablefish Pacific Coast","Fmsy-1/yr",0.06
"174","SABLEFPCOAST","NWFSC-SABLEFPCOAST-1900-2011-STACHURA","Sablefish Pacific Coast","MSY-MT",10102
"175","SABLEFPCOAST","NWFSC-SABLEFPCOAST-1900-2011-STACHURA","Sablefish Pacific Coast","SSBmsy-MT",54163
"176","SNROCKPCOAST","NWFSC-SNROCKPCOAST-1905-2009-STANTON","Splitnose Rockfish Pacific Coast","B0-MT",87584
"177","SNROCKPCOAST","NWFSC-SNROCKPCOAST-1905-2009-STANTON","Splitnose Rockfish Pacific Coast","MSY-MT",1268
"178","SNROCKPCOAST","NWFSC-SNROCKPCOAST-1905-2009-STANTON","Splitnose Rockfish Pacific Coast","SSBmsy-E06eggs",4121
"179","SNROCKPCOAST","NWFSC-SNROCKPCOAST-1905-2009-STANTON","Splitnose Rockfish Pacific Coast","Umsy-ratio",0.0398
"180","SPSDOGPCOAST","NWFSC-SPSDOGPCOAST-1916-2011-STACHURA","Spotted spiny dogfish Pacific Coast","B0-MT",304105
"181","SPSDOGPCOAST","NWFSC-SPSDOGPCOAST-1916-2011-STACHURA","Spotted spiny dogfish Pacific Coast","Fmsy-1/yr",0.01
"182","SPSDOGPCOAST","NWFSC-SPSDOGPCOAST-1916-2011-STACHURA","Spotted spiny dogfish Pacific Coast","MSY-MT",848
"188","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA","Widow rockfish Pacific Coast","Fmsy-1/yr",0.12
"189","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA","Widow rockfish Pacific Coast","MSY-MT",5490
"190","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA","Widow rockfish Pacific Coast","SSBmsy-MT",18161
"191","YEYEROCKPCOAST","NWFSC-YEYEROCKPCOAST-1916-2011-STACHURA","Yelloweye rockfish Pacific Coast","B0-MT",8882
"192","YEYEROCKPCOAST","NWFSC-YEYEROCKPCOAST-1916-2011-STACHURA","Yelloweye rockfish Pacific Coast","Fmsy-1/yr",0.02
"193","YEYEROCKPCOAST","NWFSC-YEYEROCKPCOAST-1916-2011-STACHURA","Yelloweye rockfish Pacific Coast","MSY-MT",63
"194","YEYEROCKPCOAST","NWFSC-YEYEROCKPCOAST-1916-2011-STACHURA","Yelloweye rockfish Pacific Coast","SSBmsy-E06eggs",392
"195","YTROCKNPCOAST","NWFSC-YTROCKNPCOAST-1967-2005-STANTON","Yellowtail rockfish Northern Pacific Coast","B0-MT",120024
"196","YTROCKNPCOAST","NWFSC-YTROCKNPCOAST-1967-2005-STANTON","Yellowtail rockfish Northern Pacific Coast","MSY-MT",4680
"197","YTROCKNPCOAST","NWFSC-YTROCKNPCOAST-1967-2005-STANTON","Yellowtail rockfish Northern Pacific Coast","SSBmsy-MT",12407
"201","CABEZNCAL","PFMC-CABEZNCAL-1930-2009-CHING","Cabezon Northern California","B0-MT",1835
"202","CABEZNCAL","PFMC-CABEZNCAL-1930-2009-CHING","Cabezon Northern California","Fmsy-1/yr",0.18
"203","CABEZNCAL","PFMC-CABEZNCAL-1930-2009-CHING","Cabezon Northern California","MSY-MT",129
"204","CABEZNCAL","PFMC-CABEZNCAL-1930-2009-CHING","Cabezon Northern California","SSBmsy-MT",257
"205","CABEZSCAL","PFMC-CABEZSCAL-1930-2009-CHING","Cabezon Southern California","B0-MT",470
"206","CABEZSCAL","PFMC-CABEZSCAL-1930-2009-CHING","Cabezon Southern California","Fmsy-1/yr",0.17
"207","CABEZSCAL","PFMC-CABEZSCAL-1930-2009-CHING","Cabezon Southern California","MSY-MT",30
"208","CABEZSCAL","PFMC-CABEZSCAL-1930-2009-CHING","Cabezon Southern California","SSBmsy-MT",67
"212","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","Greenstriped rockfish Pacific Coast","B0-MT",33526
"213","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","Greenstriped rockfish Pacific Coast","MSY-MT",803
"214","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","Greenstriped rockfish Pacific Coast","SSBmsy-E00eggs",2.039e+09
"215","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","Greenstriped rockfish Pacific Coast","Fmsy-1/yr",0.0682
"220","WINFLOUNDRI","RIDEM-WINFLOUNDRI-1959-2007-COLLIE","Winter flounder Rhode Island","Bmsy-MT",5478
"221","WINFLOUNDRI","RIDEM-WINFLOUNDRI-1959-2007-COLLIE","Winter flounder Rhode Island","Fmsy-1/yr",0.266
"222","CALSCORPSCAL","SWFSC-CALSCORPSCAL-1990-2005-STANTON","California scorpionfish Southern California","B0-MT",2007
"223","CALSCORPSCAL","SWFSC-CALSCORPSCAL-1990-2005-STANTON","California scorpionfish Southern California","MSY-MT",127
"224","CALSCORPSCAL","SWFSC-CALSCORPSCAL-1990-2005-STANTON","California scorpionfish Southern California","Fmsy-1/yr",0.161
"225","CMACKPCOAST","SWFSC-CMACKPCOAST-1929-2008-PINSKY","Pacific chub mackerel Pacific Coast","MSY-MT",23048.2
"226","CMACKPCOAST","SWFSC-CMACKPCOAST-1929-2008-PINSKY","Pacific chub mackerel Pacific Coast","MSY-MT",51772
"227","CMACKPCOAST","SWFSC-CMACKPCOAST-1929-2008-PINSKY","Pacific chub mackerel Pacific Coast","SSBmsy-MT",122357
"228","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA","Dover sole Pacific Coast","B0-MT",821271
"229","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA","Dover sole Pacific Coast","Fmsy-1/yr",0.131
"230","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA","Dover sole Pacific Coast","MSY-MT",34757
"231","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA","Dover sole Pacific Coast","SSBmsy-MT",114398
"232","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","Gopher rockfish Southern Pacific Coast","B0-MT",2440
"233","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","Gopher rockfish Southern Pacific Coast","MSY-MT",101
"234","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","Gopher rockfish Southern Pacific Coast","SSBmsy-MT",798
"235","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","Gopher rockfish Southern Pacific Coast","Umsy-ratio",0.103
"236","GRSPROCKNCAL","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA","Greenspotted rockfish Pacific Coast North","B0-MT",3160
"237","GRSPROCKNCAL","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA","Greenspotted rockfish Pacific Coast North","Fmsy-1/yr",0.07
"238","GRSPROCKNCAL","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA","Greenspotted rockfish Pacific Coast North","MSY-MT",58.8
"239","GRSPROCKNCAL","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA","Greenspotted rockfish Pacific Coast North","SSBmsy-MT",134
"240","GRSPROCKSCAL","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA","Greenspotted rockfish Pacific Coast South","B0-MT",4331
"241","GRSPROCKSCAL","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA","Greenspotted rockfish Pacific Coast South","Fmsy-1/yr",0.06
"242","GRSPROCKSCAL","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA","Greenspotted rockfish Pacific Coast South","MSY-MT",55.9
