"","stockid","assessid","stocklong","tsid","tsyear","tsvalue"
"45","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1957,"0.145145"
"46","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1958,"0.132158"
"47","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1959,"0.132998"
"48","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1960,"0.0994072"
"49","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1961,"0.125001"
"50","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1962,"0.128569"
"51","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1963,"0.0923007"
"52","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1964,"0.0753124"
"53","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1965,"0.071137"
"54","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1966,"0.0739233"
"55","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1967,"0.0923968"
"56","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1968,"0.0565511"
"57","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1969,"0.101947"
"58","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1970,"0.141265"
"59","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1971,"0.182919"
"60","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1972,"0.196333"
"61","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1973,"0.207792"
"62","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1974,"0.145073"
"63","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1975,"0.167227"
"64","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1976,"0.188335"
"65","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1977,"0.246385"
"66","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1978,"0.303262"
"67","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1979,"0.364648"
"68","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1980,"0.301533"
"69","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1981,"0.299575"
"70","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1982,"0.343829"
"71","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1983,"0.345944"
"72","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1984,"0.382745"
"73","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1985,"0.447507"
"74","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1986,"0.363824"
"75","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1987,"0.244977"
"76","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1988,"0.14831"
"77","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1989,"0.0759009"
"78","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1990,"0.0596688"
"79","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1991,"0.810317"
"80","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1992,"0.113762"
"81","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1993,"0.106902"
"82","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1994,"0.818588"
"83","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1995,"0.0737693"
"84","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1996,"0.0579532"
"85","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1997,"0.0222713"
"86","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1998,"0.0244263"
"87","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",1999,"0.00905789"
"88","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",2000,"0.00849867"
"89","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",2001,"0.0100002"
"90","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",2002,"0.0055358"
"91","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",2003,"0.00530315"
"92","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",2004,"0.00408046"
"93","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",2005,"0.00424967"
"94","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",2006,"0.00344785"
"95","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","F-1/yr",2007,"0.005"
"96","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1913,"642256"
"97","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1914,"642246"
"98","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1915,"642221"
"99","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1916,"642194"
"100","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1917,"642167"
"101","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1918,"642156"
"102","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1919,"642209"
"103","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1920,"642334"
"104","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1921,"642510"
"105","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1922,"642743"
"106","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1923,"643017"
"107","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1924,"643313"
"108","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1925,"643621"
"109","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1926,"643957"
"110","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1927,"644307"
"111","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1928,"644657"
"112","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1929,"645008"
"113","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1930,"645371"
"114","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1931,"645703"
"115","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1932,"646024"
"116","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1933,"646348"
"117","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1934,"646477"
"118","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1935,"643595"
"119","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1936,"630416"
"120","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1937,"611730"
"121","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1938,"595845"
"122","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1939,"575019"
"123","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1940,"551349"
"124","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1941,"517571"
"125","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1942,"468693"
"126","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1943,"421056"
"127","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1944,"377730"
"128","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1945,"339493"
"129","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1946,"307277"
"130","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1947,"274346"
"131","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1948,"241919"
"132","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1949,"213686"
"133","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1950,"191539"
"134","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1951,"169645"
"135","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1952,"153992"
"136","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1953,"145259"
"137","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1954,"140868"
"138","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1955,"138484"
"139","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1956,"135554"
"140","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1957,"130763"
"141","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1958,"124627"
"142","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1959,"119992"
"143","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1960,"117277"
"144","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1961,"115820"
"145","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1962,"112806"
"146","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1963,"111311"
"147","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1964,"112799"
"148","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1965,"115510"
"149","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1966,"118339"
"150","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1967,"120076"
"151","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1968,"121974"
"152","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1969,"123597"
"153","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1970,"119361"
"154","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1971,"109776"
"155","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1972,"96844.1"
"156","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1973,"83568.6"
"157","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1974,"73439.2"
"158","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1975,"67286.8"
"159","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1976,"61981"
"160","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1977,"56638.7"
"161","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1978,"49717"
"162","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1979,"41128.7"
"163","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1980,"32701.4"
"164","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1981,"26352.5"
"165","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1982,"20941.9"
"166","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1983,"16583.5"
"167","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1984,"13386.5"
"168","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1985,"10736.9"
"169","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1986,"8954.26"
"170","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank","SSB-MT",1987,"8350.72"
