"","unq","f.ratio","f.msy","fmsy.id","f","f.ts","stocklong.x","stocklong.y","stockid","assessid","year","b.ts","b","bmsy.id","b.msy","b.ratio","region"
"11","american plaice nafo-5yz 2002",2.57894736842105,0.19,"Fmsy-1/yr",0.49,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2002,"SSB-MT",9183.34,"SSBmsy-MT",22243,0.412864271905768,"ne"
"12","american plaice nafo-5yz 2003",2.52631578947368,0.19,"Fmsy-1/yr",0.48,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2003,"SSB-MT",8843.35,"SSBmsy-MT",22243,0.397579013622263,"ne"
"13","american plaice nafo-5yz 2004",1.68421052631579,0.19,"Fmsy-1/yr",0.32,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2004,"SSB-MT",8560.17,"SSBmsy-MT",22243,0.384847817290833,"ne"
"14","american plaice nafo-5yz 2005",0.842105263157895,0.19,"Fmsy-1/yr",0.16,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2005,"SSB-MT",9266.34,"SSBmsy-MT",22243,0.416595782942948,"ne"
"15","american plaice nafo-5yz 2006",0.684210526315789,0.19,"Fmsy-1/yr",0.13,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2006,"SSB-MT",11798.73,"SSBmsy-MT",22243,0.530446882165176,"ne"
"16","american plaice nafo-5yz 2007",0.315789473684211,0.19,"Fmsy-1/yr",0.06,"F-unweighted-1/T","american plaice nafo-5yz","american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2007,"SSB-MT",15659.02,"SSBmsy-MT",22243,0.703997662185856,"ne"
"17","arrowtooth flounder pacific coast 2000",0.476190476190476,0.21,"Fmsy-1/yr",0.1,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2000,"SSB-MT",48467.5,"SSBmsy-MT",16593,2.92096064605557,"west"
"18","arrowtooth flounder pacific coast 2001",0.404761904761905,0.21,"Fmsy-1/yr",0.085,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2001,"SSB-MT",44852.8,"SSBmsy-MT",16593,2.70311577171096,"west"
"19","arrowtooth flounder pacific coast 2002",0.376190476190476,0.21,"Fmsy-1/yr",0.079,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2002,"SSB-MT",42330.2,"SSBmsy-MT",16593,2.55108780811185,"west"
"20","arrowtooth flounder pacific coast 2003",0.390476190476191,0.21,"Fmsy-1/yr",0.082,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2003,"SSB-MT",44468.4,"SSBmsy-MT",16593,2.67994937624299,"west"
"21","arrowtooth flounder pacific coast 2004",0.361904761904762,0.21,"Fmsy-1/yr",0.076,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2004,"SSB-MT",51021,"SSBmsy-MT",16593,3.07485084071596,"west"
"22","arrowtooth flounder pacific coast 2005",0.295238095238095,0.21,"Fmsy-1/yr",0.062,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2005,"SSB-MT",56486.3,"SSBmsy-MT",16593,3.4042246730549,"west"
"23","arrowtooth flounder pacific coast 2006",0.20952380952381,0.21,"Fmsy-1/yr",0.044,"F-1/yr","arrowtooth flounder pacific coast","arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2006,"SSB-MT",60633.4,"SSBmsy-MT",16593,3.65415536672091,"west"
"24","arrowtooth flounder pacific coast 2007",NA,NA,NA,NA,NA,NA,"arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2007,"SSB-MT",63301.5,"SSBmsy-MT",16593,3.81495208822998,"west"
"25","atlantic cod georges bank 2000",3.44444444444444,0.18,"Fmsy",0.62,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2000,"SSB-MT",22256,"SSBmsy-MT",186535,0.119312729514568,"ne"
"26","atlantic cod georges bank 2001",4.61111111111111,0.18,"Fmsy",0.83,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2001,"SSB-MT",25624,"SSBmsy-MT",186535,0.137368322298764,"ne"
"27","atlantic cod georges bank 2002",4.22222222222222,0.18,"Fmsy",0.76,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2002,"SSB-MT",20459,"SSBmsy-MT",186535,0.109679148685233,"ne"
"28","atlantic cod georges bank 2003",4.44444444444444,0.18,"Fmsy",0.8,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2003,"SSB-MT",14960,"SSBmsy-MT",186535,0.0801994263811081,"ne"
"29","atlantic cod georges bank 2004",3,0.18,"Fmsy",0.54,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2004,"SSB-MT",11860,"SSBmsy-MT",186535,0.0635805612887662,"ne"
"30","atlantic cod georges bank 2005",3.61111111111111,0.18,"Fmsy",0.65,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2005,"SSB-MT",10121,"SSBmsy-MT",186535,0.0542579140643847,"ne"
"31","atlantic cod georges bank 2006",2.77777777777778,0.18,"Fmsy",0.5,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2006,"SSB-MT",10441,"SSBmsy-MT",186535,0.0559734098158523,"ne"
"32","atlantic cod georges bank 2007",3.61111111111111,0.18,"Fmsy",0.65,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2007,"SSB-MT",10970,"SSBmsy-MT",186535,0.0588093387299971,"ne"
"33","atlantic cod georges bank 2008",3.22222222222222,0.18,"Fmsy",0.58,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2008,"SSB-MT",11520,"SSBmsy-MT",186535,0.0617578470528319,"ne"
"34","atlantic cod georges bank 2009",2.33333333333333,0.18,"Fmsy",0.42,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2009,"SSB-MT",14725,"SSBmsy-MT",186535,0.0789396091886241,"ne"
"35","atlantic cod georges bank 2010",1.61111111111111,0.18,"Fmsy",0.29,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2010,"SSB-MT",17168,"SSBmsy-MT",186535,0.0920363470662342,"ne"
"36","atlantic cod georges bank 2011",1.27777777777778,0.18,"Fmsy",0.23,"F","atlantic cod georges bank","atlantic cod georges bank","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA",2011,"SSB-MT",22217,"SSBmsy-MT",186535,0.119103653469858,"ne"
"37","atlantic cod gulf of maine 2000",3.44444444444444,0.18,"Fmsy",0.62,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2000,"SSB-MT",9070,"SSBmsy-MT",54753,0.165653023578617,"ne"
"38","atlantic cod gulf of maine 2001",4,0.18,"Fmsy",0.72,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2001,"SSB-MT",11885,"SSBmsy-MT",54753,0.217065731558088,"ne"
"39","atlantic cod gulf of maine 2002",3.16666666666667,0.18,"Fmsy",0.57,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2002,"SSB-MT",11951,"SSBmsy-MT",54753,0.218271144960094,"ne"
"40","atlantic cod gulf of maine 2003",3.72222222222222,0.18,"Fmsy",0.67,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2003,"SSB-MT",10005,"SSBmsy-MT",54753,0.182729713440359,"ne"
"41","atlantic cod gulf of maine 2004",3.77777777777778,0.18,"Fmsy",0.68,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2004,"SSB-MT",8594,"SSBmsy-MT",54753,0.156959436012639,"ne"
"42","atlantic cod gulf of maine 2005",5.11111111111111,0.18,"Fmsy",0.92,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2005,"SSB-MT",7213,"SSBmsy-MT",54753,0.131737073767647,"ne"
"43","atlantic cod gulf of maine 2006",4.33333333333333,0.18,"Fmsy",0.78,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2006,"SSB-MT",6752,"SSBmsy-MT",54753,0.123317443793034,"ne"
"44","atlantic cod gulf of maine 2007",4.16666666666667,0.18,"Fmsy",0.75,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2007,"SSB-MT",8725,"SSBmsy-MT",54753,0.159351998977225,"ne"
"45","atlantic cod gulf of maine 2008",5.22222222222222,0.18,"Fmsy",0.94,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2008,"SSB-MT",10282,"SSBmsy-MT",54753,0.187788796960897,"ne"
"46","atlantic cod gulf of maine 2009",5.44444444444444,0.18,"Fmsy",0.98,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2009,"SSB-MT",11457,"SSBmsy-MT",54753,0.209248808284478,"ne"
"47","atlantic cod gulf of maine 2010",4.83333333333333,0.18,"Fmsy",0.87,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2010,"SSB-MT",11141,"SSBmsy-MT",54753,0.203477435026391,"ne"
"48","atlantic cod gulf of maine 2011",4.77777777777778,0.18,"Fmsy",0.86,"F","atlantic cod gulf of maine","atlantic cod gulf of maine","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA",2011,"SSB-MT",9903,"SSBmsy-MT",54753,0.180866801819078,"ne"
"49","aurora rockfish pacific coast 2000",0.172549019607843,0.051,"Umsy-ratio",0.0088,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2000,"SSB-MT",1848,"SSBmsy-MT",648,2.85185185185185,"west"
"50","aurora rockfish pacific coast 2001",0.141176470588235,0.051,"Umsy-ratio",0.0072,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2001,"SSB-MT",1828,"SSBmsy-MT",648,2.82098765432099,"west"
"51","aurora rockfish pacific coast 2002",0.252941176470588,0.051,"Umsy-ratio",0.0129,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2002,"SSB-MT",1814,"SSBmsy-MT",648,2.79938271604938,"west"
"52","aurora rockfish pacific coast 2003",0.347058823529412,0.051,"Umsy-ratio",0.0177,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2003,"SSB-MT",1791,"SSBmsy-MT",648,2.76388888888889,"west"
"53","aurora rockfish pacific coast 2004",0.394117647058824,0.051,"Umsy-ratio",0.0201,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2004,"SSB-MT",1760,"SSBmsy-MT",648,2.71604938271605,"west"
"54","aurora rockfish pacific coast 2005",0.252941176470588,0.051,"Umsy-ratio",0.0129,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2005,"SSB-MT",1727,"SSBmsy-MT",648,2.66512345679012,"west"
"55","aurora rockfish pacific coast 2006",0.262745098039216,0.051,"Umsy-ratio",0.0134,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2006,"SSB-MT",1710,"SSBmsy-MT",648,2.63888888888889,"west"
"56","aurora rockfish pacific coast 2007",0.268627450980392,0.051,"Umsy-ratio",0.0137,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2007,"SSB-MT",1695,"SSBmsy-MT",648,2.61574074074074,"west"
"57","aurora rockfish pacific coast 2008",0.243137254901961,0.051,"Umsy-ratio",0.0124,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2008,"SSB-MT",1681,"SSBmsy-MT",648,2.59413580246914,"west"
"58","aurora rockfish pacific coast 2009",0.307843137254902,0.051,"Umsy-ratio",0.0157,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2009,"SSB-MT",1672,"SSBmsy-MT",648,2.58024691358025,"west"
"59","aurora rockfish pacific coast 2010",0.192156862745098,0.051,"Umsy-ratio",0.0098,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2010,"SSB-MT",1659,"SSBmsy-MT",648,2.56018518518519,"west"
"60","aurora rockfish pacific coast 2011",0.131372549019608,0.051,"Umsy-ratio",0.0067,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2011,"SSB-MT",1660,"SSBmsy-MT",648,2.56172839506173,"west"
"61","aurora rockfish pacific coast 2012",0.194117647058824,0.051,"Umsy-ratio",0.0099,"U-ratio","aurora rockfish pacific coast","aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2012,"SSB-MT",1669,"SSBmsy-MT",648,2.57561728395062,"west"
"62","aurora rockfish pacific coast 2013",NA,NA,NA,NA,NA,NA,"aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2013,"SSB-MT",1673,"SSBmsy-MT",648,2.58179012345679,"west"
"63","black rockfish northern pacific coast 2000",0.418439716312057,0.141,"Fmsy-1/yr",0.059,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2000,"SB-MT",8405,"SBmsy-MT",4947,1.6990095007075,"west"
"64","black rockfish northern pacific coast 2001",0.326241134751773,0.141,"Fmsy-1/yr",0.046,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2001,"SB-MT",8515,"SBmsy-MT",4947,1.72124519911057,"west"
"65","black rockfish northern pacific coast 2002",0.397163120567376,0.141,"Fmsy-1/yr",0.056,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2002,"SB-MT",8635,"SBmsy-MT",4947,1.7455023246412,"west"
"66","black rockfish northern pacific coast 2003",0.382978723404255,0.141,"Fmsy-1/yr",0.054,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2003,"SB-MT",8737,"SBmsy-MT",4947,1.76612088134223,"west"
"67","black rockfish northern pacific coast 2004",0.425531914893617,0.141,"Fmsy-1/yr",0.06,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2004,"SB-MT",8835,"SBmsy-MT",4947,1.78593086719224,"west"
"68","black rockfish northern pacific coast 2005",0.49645390070922,0.141,"Fmsy-1/yr",0.07,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2005,"SB-MT",9018,"SBmsy-MT",4947,1.82292298362644,"west"
"69","black rockfish northern pacific coast 2006",0.468085106382979,0.141,"Fmsy-1/yr",0.066,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2006,"SB-MT",9063,"SBmsy-MT",4947,1.83201940570042,"west"
"70","black rockfish southern pacific coast 2000",0.383574007220217,0.08864,"Fmsy-1/yr",0.034,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2000,"SSB-E6larvae",2126.8,"SSBmsy-E6larvae",1444.6,1.47224145092067,"west"
"71","black rockfish southern pacific coast 2001",0.485108303249097,0.08864,"Fmsy-1/yr",0.043,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2001,"SSB-E6larvae",2375.1,"SSBmsy-E6larvae",1444.6,1.6441229406064,"west"
"72","black rockfish southern pacific coast 2002",0.372292418772563,0.08864,"Fmsy-1/yr",0.033,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2002,"SSB-E6larvae",2580.9,"SSBmsy-E6larvae",1444.6,1.7865845216669,"west"
"73","black rockfish southern pacific coast 2003",0.552797833935018,0.08864,"Fmsy-1/yr",0.049,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2003,"SSB-E6larvae",2759.6,"SSBmsy-E6larvae",1444.6,1.91028658452167,"west"
"74","black rockfish southern pacific coast 2004",0.36101083032491,0.08864,"Fmsy-1/yr",0.032,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2004,"SSB-E6larvae",2844.9,"SSBmsy-E6larvae",1444.6,1.96933407171535,"west"
"75","black rockfish southern pacific coast 2005",0.372292418772563,0.08864,"Fmsy-1/yr",0.033,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2005,"SSB-E6larvae",2970.5,"SSBmsy-E6larvae",1444.6,2.0562785546172,"west"
"76","black rockfish southern pacific coast 2006",0.32716606498195,0.08864,"Fmsy-1/yr",0.029,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2006,"SSB-E6larvae",3100.3,"SSBmsy-E6larvae",1444.6,2.14613041672435,"west"
"77","black rockfish southern pacific coast 2007",NA,NA,NA,NA,NA,NA,"black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2007,"SSB-E6larvae",3226.5,"SSBmsy-E6larvae",1444.6,2.23349023951267,"west"
"78","blackgill rockfish  pacific coast 2000",0.381255,0.04,"Fmsy-1/yr",0.0152502,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2000,"SSB-E6larvae",0.233141,"SSBmsy-E6larvae",0.2498,0.933310648518815,"west"
"79","blackgill rockfish  pacific coast 2001",0.55888,0.04,"Fmsy-1/yr",0.0223552,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2001,"SSB-E6larvae",0.246501,"SSBmsy-E6larvae",0.2498,0.986793434747798,"west"
"80","blackgill rockfish  pacific coast 2002",0.61659,0.04,"Fmsy-1/yr",0.0246636,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2002,"SSB-E6larvae",0.257874,"SSBmsy-E6larvae",0.2498,1.03232185748599,"west"
"81","blackgill rockfish  pacific coast 2003",0.79301,0.04,"Fmsy-1/yr",0.0317204,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2003,"SSB-E6larvae",0.26837,"SSBmsy-E6larvae",0.2498,1.07433947157726,"west"
"82","blackgill rockfish  pacific coast 2004",0.62511,0.04,"Fmsy-1/yr",0.0250044,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2004,"SSB-E6larvae",0.276172,"SSBmsy-E6larvae",0.2498,1.10557245796637,"west"
"83","blackgill rockfish  pacific coast 2005",0.360675,0.04,"Fmsy-1/yr",0.014427,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2005,"SSB-E6larvae",0.286085,"SSBmsy-E6larvae",0.2498,1.14525620496397,"west"
"84","blackgill rockfish  pacific coast 2006",0.377645,0.04,"Fmsy-1/yr",0.0151058,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2006,"SSB-E6larvae",0.299283,"SSBmsy-E6larvae",0.2498,1.1980904723779,"west"
"85","blackgill rockfish  pacific coast 2007",0.1896025,0.04,"Fmsy-1/yr",0.0075841,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2007,"SSB-E6larvae",0.312044,"SSBmsy-E6larvae",0.2498,1.24917534027222,"west"
"86","blackgill rockfish  pacific coast 2008",0.29006,0.04,"Fmsy-1/yr",0.0116024,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2008,"SSB-E6larvae",0.327502,"SSBmsy-E6larvae",0.2498,1.31105684547638,"west"
