"","metric.and.spp","stockid.x","assessid.x","stocklong.x","tsid","tsyear","tsvalue","stockid.y","assessid.y","stocklong.y","bioid","biovalue","ratio"
"318","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1999,4173060000,NA,NA,NA,NA,NA,NA
"319","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",2000,4275040000,NA,NA,NA,NA,NA,NA
"320","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",2001,4425190000,NA,NA,NA,NA,NA,NA
"321","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",2002,4539560000,NA,NA,NA,NA,NA,NA
"322","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",2003,4632570000,NA,NA,NA,NA,NA,NA
"323","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",2004,4759820000,NA,NA,NA,NA,NA,NA
"324","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",2005,4923550000,NA,NA,NA,NA,NA,NA
"325","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",2006,5119550000,NA,NA,NA,NA,NA,NA
"326","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",2007,5322590000,NA,NA,NA,NA,NA,NA
"327","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",2008,5533240000,NA,NA,NA,NA,NA,NA
"328","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",2009,5736280000,NA,NA,NA,NA,NA,NA
"329","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1916,7089770000,NA,NA,NA,NA,NA,NA
"330","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1917,7086310000,NA,NA,NA,NA,NA,NA
"331","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1918,7080870000,NA,NA,NA,NA,NA,NA
"332","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1919,7075860000,NA,NA,NA,NA,NA,NA
"333","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1920,7073330000,NA,NA,NA,NA,NA,NA
"334","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1921,7070680000,NA,NA,NA,NA,NA,NA
"335","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1922,7068610000,NA,NA,NA,NA,NA,NA
"336","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1923,7066800000,NA,NA,NA,NA,NA,NA
"337","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1924,7064320000,NA,NA,NA,NA,NA,NA
"338","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1925,7060990000,NA,NA,NA,NA,NA,NA
"339","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1926,7057280000,NA,NA,NA,NA,NA,NA
"340","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1927,7052220000,NA,NA,NA,NA,NA,NA
"341","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1928,7047930000,NA,NA,NA,NA,NA,NA
"342","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1929,7044160000,NA,NA,NA,NA,NA,NA
"343","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1930,7039230000,NA,NA,NA,NA,NA,NA
"344","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1931,7034740000,NA,NA,NA,NA,NA,NA
"345","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1932,7028960000,NA,NA,NA,NA,NA,NA
"346","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1933,7024820000,NA,NA,NA,NA,NA,NA
"347","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1934,7020970000,NA,NA,NA,NA,NA,NA
"348","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1935,7017910000,NA,NA,NA,NA,NA,NA
"349","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1936,7015350000,NA,NA,NA,NA,NA,NA
"350","SSB-E00eggs greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","greenstriped rockfish pacific coast","SSB-E00eggs",1937,7014730000,NA,NA,NA,NA,NA,NA
