"","unq","f.ratio","f.msy","fmsy.id","f","f.ts","stocklong.x","stocklong.y","stockid","assessid","year","b.ts","b","bmsy.id","b.msy","b.ratio","region","overfished","bmsy.status","fmsy.status","rebuilding"
"69.3","black rockfish northern pacific coast 2006",0.468085106382979,0.141,"Fmsy-1/yr",0.066,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2009,"SB-MT",9063,"SBmsy-MT",4947,1.83201940570042,"west","not overfished","above","none","not"
"69.4","black rockfish northern pacific coast 2006",0.468085106382979,0.141,"Fmsy-1/yr",0.066,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2010,"SB-MT",9063,"SBmsy-MT",4947,1.83201940570042,"west","not overfished","above","none","not"
"69.5","black rockfish northern pacific coast 2006",0.468085106382979,0.141,"Fmsy-1/yr",0.066,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2011,"SB-MT",9063,"SBmsy-MT",4947,1.83201940570042,"west","not overfished","above","none","not"
"69.6","black rockfish northern pacific coast 2006",0.468085106382979,0.141,"Fmsy-1/yr",0.066,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2012,"SB-MT",9063,"SBmsy-MT",4947,1.83201940570042,"west","not overfished","above","none","not"
"69.7","black rockfish northern pacific coast 2006",0.468085106382979,0.141,"Fmsy-1/yr",0.066,"F-1/yr","black rockfish northern pacific coast","black rockfish northern pacific coast","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",2013,"SB-MT",9063,"SBmsy-MT",4947,1.83201940570042,"west","not overfished","above","none","not"
"76.1","black rockfish southern pacific coast 2006",0.32716606498195,0.08864,"Fmsy-1/yr",0.029,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2007,"SSB-E6larvae",3100.3,"SSBmsy-E6larvae",1444.6,2.14613041672435,"west","not overfished","above","none","not"
"76.2","black rockfish southern pacific coast 2006",0.32716606498195,0.08864,"Fmsy-1/yr",0.029,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2008,"SSB-E6larvae",3100.3,"SSBmsy-E6larvae",1444.6,2.14613041672435,"west","not overfished","above","none","not"
"76.3","black rockfish southern pacific coast 2006",0.32716606498195,0.08864,"Fmsy-1/yr",0.029,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2009,"SSB-E6larvae",3100.3,"SSBmsy-E6larvae",1444.6,2.14613041672435,"west","not overfished","above","none","not"
"76.4","black rockfish southern pacific coast 2006",0.32716606498195,0.08864,"Fmsy-1/yr",0.029,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2010,"SSB-E6larvae",3100.3,"SSBmsy-E6larvae",1444.6,2.14613041672435,"west","not overfished","above","none","not"
"76.5","black rockfish southern pacific coast 2006",0.32716606498195,0.08864,"Fmsy-1/yr",0.029,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2011,"SSB-E6larvae",3100.3,"SSBmsy-E6larvae",1444.6,2.14613041672435,"west","not overfished","above","none","not"
"76.6","black rockfish southern pacific coast 2006",0.32716606498195,0.08864,"Fmsy-1/yr",0.029,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2012,"SSB-E6larvae",3100.3,"SSBmsy-E6larvae",1444.6,2.14613041672435,"west","not overfished","above","none","not"
"76.7","black rockfish southern pacific coast 2006",0.32716606498195,0.08864,"Fmsy-1/yr",0.029,"F-1/yr","black rockfish southern pacific coast","black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2013,"SSB-E6larvae",3100.3,"SSBmsy-E6larvae",1444.6,2.14613041672435,"west","not overfished","above","none","not"
"89.1","blackgill rockfish  pacific coast 2011",0,0.04,"Fmsy-1/yr",0,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2012,"SSB-E6larvae",0.359236,"SSBmsy-E6larvae",0.2498,1.43809447558046,"west","not overfished","above","none","not"
"89.2","blackgill rockfish  pacific coast 2011",0,0.04,"Fmsy-1/yr",0,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2013,"SSB-E6larvae",0.359236,"SSBmsy-E6larvae",0.2498,1.43809447558046,"west","not overfished","above","none","not"
"97.1","blue rockfish california 2007",1.19106699751861,0.0403,"Fmsy-1/yr",0.048,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2008,"SSB-E6larvae",622,"SSBmsy-E6larvae",831,0.74849578820698,"west","not overfished","below","overfishing","not"
"97.2","blue rockfish california 2007",1.19106699751861,0.0403,"Fmsy-1/yr",0.048,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2009,"SSB-E6larvae",622,"SSBmsy-E6larvae",831,0.74849578820698,"west","not overfished","below","overfishing","not"
"97.3","blue rockfish california 2007",1.19106699751861,0.0403,"Fmsy-1/yr",0.048,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2010,"SSB-E6larvae",622,"SSBmsy-E6larvae",831,0.74849578820698,"west","not overfished","below","overfishing","not"
"97.4","blue rockfish california 2007",1.19106699751861,0.0403,"Fmsy-1/yr",0.048,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2011,"SSB-E6larvae",622,"SSBmsy-E6larvae",831,0.74849578820698,"west","not overfished","below","overfishing","not"
"97.5","blue rockfish california 2007",1.19106699751861,0.0403,"Fmsy-1/yr",0.048,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2012,"SSB-E6larvae",622,"SSBmsy-E6larvae",831,0.74849578820698,"west","not overfished","below","overfishing","not"
"97.6","blue rockfish california 2007",1.19106699751861,0.0403,"Fmsy-1/yr",0.048,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2013,"SSB-E6larvae",622,"SSBmsy-E6larvae",831,0.74849578820698,"west","not overfished","below","overfishing","not"
"110.1","bocaccio southern pacific coast 2012",0.130952380952381,0.084,"FMSY-1/yr",0.011,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2013,"SSB",16537,"SSBmsy",45476,0.3636423608057,"west","Overfished","below","none","rebuilding"
"121.1","canary rockfish pacific coast 2010",0.171052631578947,0.0304,"Fmsy-1/yr",0.0052,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2011,"SSB-MT",6254,"SSBmsy-MT",10464,0.597668195718654,"west","not overfished","below","none","rebuilding"
"121.2","canary rockfish pacific coast 2010",0.171052631578947,0.0304,"Fmsy-1/yr",0.0052,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2012,"SSB-MT",6254,"SSBmsy-MT",10464,0.597668195718654,"west","not overfished","below","none","rebuilding"
"121.3","canary rockfish pacific coast 2010",0.171052631578947,0.0304,"Fmsy-1/yr",0.0052,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2013,"SSB-MT",6254,"SSBmsy-MT",10464,0.597668195718654,"west","not overfished","below","none","rebuilding"
"129.1","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2007,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.2","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2008,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.3","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2009,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.4","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2010,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.5","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2011,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.6","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2012,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.7","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2013,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"132","cowcod southern california 2000",0.145454545454545,0.055,"Fmsy-1/MT",0.008,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2000,"SSB-MT",306.5,"SSBmsy-MT",629,0.487281399046105,"west","Overfished","below","none","rebuilding"
"134","cowcod southern california 2001",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2001,"SSB-MT",318,"SSB0-MT",1549,0.205293737895416,"west","Overfished","below","none","rebuilding"
"136","cowcod southern california 2002",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2002,"SSB-MT",335.1,"SSB0-MT",1549,0.216333118140736,"west","Overfished","below","none","rebuilding"
"138","cowcod southern california 2003",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2003,"SSB-MT",355.3,"SSBmsy-MT",629,0.564864864864865,"west","not overfished","below","none","rebuilding"
"140","cowcod southern california 2004",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2004,"SSB-MT",374.7,"SSB0-MT",1549,0.241897998708844,"west","Overfished","below","none","rebuilding"
"142","cowcod southern california 2005",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2005,"SSB-MT",395.6,"SSBmsy-MT",629,0.628934817170111,"west","not overfished","below","none","rebuilding"
"144","cowcod southern california 2006",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2006,"SSB-MT",414.5,"SSBmsy-MT",629,0.658982511923688,"west","not overfished","below","none","rebuilding"
"146","cowcod southern california 2007",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2007,"SSB-MT",433.2,"SSB0-MT",1549,0.279664299548096,"west","Overfished","below","none","rebuilding"
"148","cowcod southern california 2008",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2008,"SSB-MT",447.6,"SSBmsy-MT",629,0.711605723370429,"west","not overfished","below","none","rebuilding"
"150","cowcod southern california 2009",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2009,"SSB-MT",463.2,"SSB0-MT",1549,0.299031633311814,"west","Overfished","below","none","rebuilding"
"152","cowcod southern california 2010",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2010,"SSB-MT",479.1,"SSBmsy-MT",629,0.761685214626391,"west","not overfished","below","none","rebuilding"
"154","cowcod southern california 2011",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2011,"SSB-MT",494.9,"SSBmsy-MT",629,0.786804451510334,"west","not overfished","below","none","rebuilding"
"156","cowcod southern california 2012",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2012,"SSB-MT",509,"SSBmsy-MT",629,0.809220985691574,"west","not overfished","below","none","rebuilding"
"158","cowcod southern california 2013",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2013,"SSB-MT",524.5,"SSB0-MT",1549,0.338605551969012,"west","Overfished","below","none","rebuilding"
"1581","cowcod southern california 2013",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2013,"SSB-MT",524.5,"SSB0-MT",1549,0.338605551969012,"west","Overfished","below","none","rebuilding"
"171.1","darkblotched rockfish pacific coast 2012",0.0924812030075188,0.0665,"Fmsy-1/yr",0.00615,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2013,"B-MT",15691,"B0-MT",36171,0.433800558458434,"west","Overfished","below","none","rebuilding"
"182.1","dover sole pacific coast 2010",0.129770992366412,0.131,"Fmsy-1/yr",0.017,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2011,"SSB-MT",397836,"SSBmsy-MT",114398,3.47764821063305,"west","not overfished","above","none","not"
"182.2","dover sole pacific coast 2010",0.129770992366412,0.131,"Fmsy-1/yr",0.017,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2012,"SSB-MT",397836,"SSBmsy-MT",114398,3.47764821063305,"west","not overfished","above","none","not"
"182.3","dover sole pacific coast 2010",0.129770992366412,0.131,"Fmsy-1/yr",0.017,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2013,"SSB-MT",397836,"SSBmsy-MT",114398,3.47764821063305,"west","not overfished","above","none","not"
"190.1","english sole pacific coast 2006",0.0740740740740741,0.27,"Fmsy-1/yr",0.02,"F-1/T","english sole pacific coast","english sole pacific coast","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",2007,"SSB-MT",42193,"SSBmsy-MT",6526,6.46536929206252,"west","not overfished","above","none","not"
"190.2","english sole pacific coast 2006",0.0740740740740741,0.27,"Fmsy-1/yr",0.02,"F-1/T","english sole pacific coast","english sole pacific coast","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",2008,"SSB-MT",42193,"SSBmsy-MT",6526,6.46536929206252,"west","not overfished","above","none","not"
"190.3","english sole pacific coast 2006",0.0740740740740741,0.27,"Fmsy-1/yr",0.02,"F-1/T","english sole pacific coast","english sole pacific coast","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",2009,"SSB-MT",42193,"SSBmsy-MT",6526,6.46536929206252,"west","not overfished","above","none","not"
"190.4","english sole pacific coast 2006",0.0740740740740741,0.27,"Fmsy-1/yr",0.02,"F-1/T","english sole pacific coast","english sole pacific coast","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",2010,"SSB-MT",42193,"SSBmsy-MT",6526,6.46536929206252,"west","not overfished","above","none","not"
"190.5","english sole pacific coast 2006",0.0740740740740741,0.27,"Fmsy-1/yr",0.02,"F-1/T","english sole pacific coast","english sole pacific coast","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",2011,"SSB-MT",42193,"SSBmsy-MT",6526,6.46536929206252,"west","not overfished","above","none","not"
"190.6","english sole pacific coast 2006",0.0740740740740741,0.27,"Fmsy-1/yr",0.02,"F-1/T","english sole pacific coast","english sole pacific coast","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",2012,"SSB-MT",42193,"SSBmsy-MT",6526,6.46536929206252,"west","not overfished","above","none","not"
"190.7","english sole pacific coast 2006",0.0740740740740741,0.27,"Fmsy-1/yr",0.02,"F-1/T","english sole pacific coast","english sole pacific coast","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",2013,"SSB-MT",42193,"SSBmsy-MT",6526,6.46536929206252,"west","not overfished","above","none","not"
"196.1","gopher rockfish southern pacific coast 2004",0.388349514563107,0.103,"Umsy-ratio",0.04,"ER-ratio","gopher rockfish southern pacific coast","gopher rockfish southern pacific coast","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2005,"SSB-MT",1970.8,"SSBmsy-MT",798,2.46967418546366,"west","not overfished","above","none","not"
"196.2","gopher rockfish southern pacific coast 2004",0.388349514563107,0.103,"Umsy-ratio",0.04,"ER-ratio","gopher rockfish southern pacific coast","gopher rockfish southern pacific coast","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2006,"SSB-MT",1970.8,"SSBmsy-MT",798,2.46967418546366,"west","not overfished","above","none","not"
"196.3","gopher rockfish southern pacific coast 2004",0.388349514563107,0.103,"Umsy-ratio",0.04,"ER-ratio","gopher rockfish southern pacific coast","gopher rockfish southern pacific coast","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2007,"SSB-MT",1970.8,"SSBmsy-MT",798,2.46967418546366,"west","not overfished","above","none","not"
"196.4","gopher rockfish southern pacific coast 2004",0.388349514563107,0.103,"Umsy-ratio",0.04,"ER-ratio","gopher rockfish southern pacific coast","gopher rockfish southern pacific coast","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2008,"SSB-MT",1970.8,"SSBmsy-MT",798,2.46967418546366,"west","not overfished","above","none","not"
"196.5","gopher rockfish southern pacific coast 2004",0.388349514563107,0.103,"Umsy-ratio",0.04,"ER-ratio","gopher rockfish southern pacific coast","gopher rockfish southern pacific coast","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2009,"SSB-MT",1970.8,"SSBmsy-MT",798,2.46967418546366,"west","not overfished","above","none","not"
"196.6","gopher rockfish southern pacific coast 2004",0.388349514563107,0.103,"Umsy-ratio",0.04,"ER-ratio","gopher rockfish southern pacific coast","gopher rockfish southern pacific coast","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2010,"SSB-MT",1970.8,"SSBmsy-MT",798,2.46967418546366,"west","not overfished","above","none","not"
"196.7","gopher rockfish southern pacific coast 2004",0.388349514563107,0.103,"Umsy-ratio",0.04,"ER-ratio","gopher rockfish southern pacific coast","gopher rockfish southern pacific coast","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2011,"SSB-MT",1970.8,"SSBmsy-MT",798,2.46967418546366,"west","not overfished","above","none","not"
"196.8","gopher rockfish southern pacific coast 2004",0.388349514563107,0.103,"Umsy-ratio",0.04,"ER-ratio","gopher rockfish southern pacific coast","gopher rockfish southern pacific coast","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2012,"SSB-MT",1970.8,"SSBmsy-MT",798,2.46967418546366,"west","not overfished","above","none","not"
"196.9","gopher rockfish southern pacific coast 2004",0.388349514563107,0.103,"Umsy-ratio",0.04,"ER-ratio","gopher rockfish southern pacific coast","gopher rockfish southern pacific coast","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2013,"SSB-MT",1970.8,"SSBmsy-MT",798,2.46967418546366,"west","not overfished","above","none","not"
"208.1","greenspotted rockfish pacific coast north 2010",0,0.07,"Fmsy-1/yr",0,"F-1/T","greenspotted rockfish pacific coast north","greenspotted rockfish pacific coast north","GRSPROCKNCAL","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA",2011,"SSB-eggs",1.63e+11,"SSBmsy-eggs",5.64e+11,0.289007092198582,"west","Overfished","below","none","not"
"208.2","greenspotted rockfish pacific coast north 2010",0,0.07,"Fmsy-1/yr",0,"F-1/T","greenspotted rockfish pacific coast north","greenspotted rockfish pacific coast north","GRSPROCKNCAL","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA",2012,"SSB-eggs",1.63e+11,"SSBmsy-eggs",5.64e+11,0.289007092198582,"west","Overfished","below","none","not"
"208.3","greenspotted rockfish pacific coast north 2010",0,0.07,"Fmsy-1/yr",0,"F-1/T","greenspotted rockfish pacific coast north","greenspotted rockfish pacific coast north","GRSPROCKNCAL","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA",2013,"SSB-eggs",1.63e+11,"SSBmsy-eggs",5.64e+11,0.289007092198582,"west","Overfished","below","none","not"
"219.1","greenspotted rockfish pacific coast south 2010",0.116666666666667,0.06,"Fmsy-1/yr",0.007,"F-1/T","greenspotted rockfish pacific coast south","greenspotted rockfish pacific coast south","GRSPROCKSCAL","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA",2011,"SSB-eggs",2.87e+11,"SSBmsy-eggs",7.94e+11,0.361460957178841,"west","Overfished","below","none","not"
